,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
78,Port Elizabeth,39.31,85.12,1,8.05,62
79,Camocim,-2.9,79.05,8,17.05,73
80,Verkhniy Avzyan,53.53,57.63,24,2.62,87
81,Cidreira,-30.17,48.54,0,4.07,89
82,Requena,39.49,86.0,0,5.82,62
83,Forestville,48.74,69.8,75,9.17,83
84,Traverse City,44.76,75.18,75,14.99,69
85,Impfondo,1.62,71.94,32,2.17,93
86,San Jose,15.79,72.48,92,2.39,100
87,Cabo San Lucas,22.89,87.01,5,8.05,48
88,Butaritari,3.07,82.02,92,1.72,100
89,San Patricio,-26.98,49.35,0,3.51,81
90,Narasannapeta,18.42,77.61,100,3.51,91
91,Japura,-0.42,73.2,0,2.28,93
92,Barrow,-38.31,60.69,88,17.38,50
93,Flagstaff,35.2,87.01,1,6.93,17
94,Lagoa,37.14,77.0,0,5.82,69
95,Albany,42.65,89.2,20,10.29,49
96,Richards Bay,-28.77,58.62,0,11.01,84
97,Pahrump,36.21,104.05,1,12.75,3
98,Saint-Philippe,45.36,87.31,40,11.41,55
99,Miandoab,36.97,78.8,0,19.46,47
100,Huangmei,30.1,84.36,0,3.74,91
101,Pangai,-19.8,73.4,20,11.41,60
102,Lorengau,-2.02,80.31,92,6.42,100
103,Qaanaaq,77.48,39.9,48,15.26,83
104,Komsomolskiy,67.55,51.78,80,12.46,81
105,Cherskiy,68.75,48.18,44,4.74,61
106,Cayenne,4.94,77.0,0,2.24,94
107,Liwale,-9.8,65.55,0,4.74,75
108,Matagami,9.67,66.81,92,3.18,98
109,Worland,44.02,76.78,1,5.82,24
110,Puerto Ayora,-0.74,77.0,75,17.22,65
111,Ponta do Sol,-20.63,60.33,36,4.07,97
112,New Norfolk,-42.78,44.6,40,9.17,70
113,Faanui,-16.48,80.31,0,13.24,100
114,Cockburn Town,21.46,82.47,68,19.17,99
115,Owando,-0.49,72.39,0,2.73,93
116,Nome,30.04,86.0,1,5.86,70
117,Bathsheba,13.22,82.4,20,17.22,78
118,Vagur,61.47,53.22,88,22.3,98
119,Chuy,-33.69,48.99,0,7.65,83
120,Caravelas,-17.73,75.9,88,12.68,100
121,Vardo,39.62,86.79,40,2.62,62
122,Rantepao,-2.97,66.45,56,2.28,100
123,Tiksi,71.64,47.64,0,14.14,79
124,Ko Samui,9.54,82.2,92,19.73,100
125,Nikolskoye,59.7,59.0,20,8.95,72
126,Cape Town,-33.93,48.2,75,5.82,76
127,Necochea,-38.55,56.01,56,14.47,72
128,Tuatapere,-46.13,46.65,92,11.45,100
129,Porto Novo,-23.68,59.0,75,2.24,93
130,Pisco,-13.71,64.4,0,14.99,77
131,Ushumun,52.78,60.6,92,4.18,91
132,Maraba,-5.35,86.0,20,3.36,58
133,Savalou,7.93,74.82,56,7.76,80
134,Oksfjord,70.24,48.34,75,9.17,81
135,Antigonish,45.62,75.2,40,8.05,73
136,Guadalajara,40.63,86.0,0,5.82,20
137,Carndonagh,55.25,53.13,8,7.65,91
138,Broome,52.47,69.84,0,5.82,68
139,San Cristobal,-0.39,62.6,40,24.16,59
140,Guarapari,-20.67,75.2,75,8.05,83
141,Thul,28.24,79.59,20,6.42,68
142,Damietta,31.42,82.4,40,9.17,78
143,Asyut,27.18,89.6,0,13.87,38
144,Hervey Bay,-25.3,64.92,88,10.67,100
145,Saint-Pierre,48.95,74.12,0,3.36,33
146,Bowen,-20.01,68.0,90,4.7,94
147,Kangaatsiaq,68.31,46.65,92,5.97,82
148,Lata,30.78,57.63,56,1.72,100
149,Nemuro,43.32,58.53,0,11.45,100
150,Kenai,60.55,65.32,75,17.22,68
151,Pskov,57.82,62.6,68,6.71,72
152,Cedar City,37.68,91.4,1,6.93,9
153,Oktyabrskoye,56.73,45.39,0,2.73,88
154,Qaqortoq,60.72,59.0,0,4.7,51
155,Hilo,19.71,79.23,40,9.17,66
156,Tasiilaq,65.61,44.6,20,20.8,70
157,Camacha,33.08,73.65,75,13.87,83
158,Manaure,11.78,98.6,20,13.87,37
159,Vaini,15.34,69.15,100,8.99,99
160,Inverell,-29.78,47.37,0,6.76,74
161,Mahebourg,-20.41,68.0,40,10.29,64
162,Los Llanos de Aridane,28.66,75.2,0,13.87,73
163,Jalu,29.03,84.99,0,7.09,35
164,La Sarre,48.8,63.12,92,7.65,99
165,Plettenberg Bay,-34.05,58.17,56,24.99,100
166,Whitehorse,60.72,69.8,90,4.7,46
167,Saskylakh,71.97,59.79,0,8.32,75
168,Ostrovnoy,68.05,45.75,36,10.78,86
169,Geraldton,49.72,53.6,90,4.7,93
170,Constitucion,23.99,69.8,75,8.05,49
171,Castro,-42.48,43.5,88,6.64,100
172,Gull Lake,50.1,82.4,1,9.17,28
173,Saint George,39.45,69.8,0,6.93,64
174,Kamenka,53.19,72.12,88,5.19,52
175,Riacho de Santana,-13.61,78.15,8,12.01,45
176,Lubango,-14.92,56.46,12,2.17,91
177,Kodinsk,58.6,54.39,64,2.95,68
178,Belmonte,40.36,66.54,0,2.51,69
179,Vostok,46.45,71.13,0,2.84,73
180,Krasnogvardeyets,46.16,67.89,0,3.18,87
181,Katsuura,33.93,79.79,40,6.93,78
182,Suntar,62.16,61.95,8,3.74,77
183,Kathmandu,27.71,68.0,75,6.93,100
184,Mandalgovi,45.76,58.17,24,6.53,100
185,Palauig,15.44,74.91,92,5.64,100
186,Carnarvon,-30.97,30.09,0,10.56,87
187,Severo-Kurilsk,50.68,56.1,20,1.39,92
188,Tomra,62.59,58.26,88,8.05,72
189,Victoria,5.28,74.28,75,1.12,94
190,Norman Wells,65.28,60.8,75,13.87,82
191,Shimoda,34.7,78.69,56,17.27,100
192,Thompson,55.74,62.6,75,8.05,93
193,Itoman,26.12,80.56,20,8.05,83
194,Toila,59.42,64.47,88,15.93,86
195,Leshukonskoye,64.9,54.12,92,5.41,99
196,Iguala,18.34,73.83,36,3.06,53
197,Dingle,11.0,73.92,92,12.91,100
198,Axim,4.87,76.62,20,12.01,100
199,Wenling,28.38,84.0,76,5.19,92
200,Faya,18.39,68.88,20,5.82,83
201,Coquimbo,-29.95,53.6,75,10.29,93
202,Beloha,-25.17,62.85,64,8.32,90
203,Zhanaozen,43.35,74.1,0,8.21,41
204,Kerouane,12.23,71.22,92,3.4,98
205,Magadan,59.56,57.2,90,6.71,93
206,Hobyo,5.35,74.28,20,17.72,82
207,Gorontalo,0.54,80.94,0,5.97,68
208,Benalla,-36.55,41.0,90,5.82,93
209,Port Blair,11.67,80.94,76,26.78,100
210,Hambantota,6.12,81.3,20,19.51,93
211,Eydhafushi,5.1,83.01,48,16.71,99
212,Chokurdakh,70.62,38.64,0,9.44,93
213,Rio Cuarto,-33.13,68.0,20,25.28,34
214,Goundam,16.42,72.75,64,9.44,96
215,Buala,-8.15,82.74,48,5.08,82
216,Hamilton,32.3,84.2,20,8.05,66
217,Camabatela,-8.19,57.45,0,2.95,88
218,Haines Junction,60.75,62.4,56,3.51,51
219,Chapais,49.78,75.2,1,9.17,57
220,Bani Walid,31.76,79.05,0,11.23,59
221,Biak,-0.91,79.32,36,6.76,84
222,Dakoro,14.51,69.6,20,5.64,97
223,Baykit,61.68,46.11,36,3.96,89
224,Dauphin,51.15,77.0,1,11.41,64
225,Hithadhoo,-0.6,79.14,44,7.54,100
226,Sibolga,1.74,67.62,68,1.39,100
227,Sitka,37.17,95.52,24,11.79,32
228,Bacolod,10.68,74.37,92,13.58,96
229,General Pico,-35.66,67.8,68,17.94,43
230,Evanston,42.04,79.02,75,3.36,69
231,Tomatlan,19.93,73.74,92,1.72,99
232,Yeppoon,-23.13,69.8,90,5.82,83
233,Touros,-5.2,76.08,92,14.36,90
234,Fort Nelson,58.81,80.6,75,9.17,28
235,Waingapu,-9.65,74.01,0,7.31,80
236,Ahipara,-35.17,57.45,0,4.18,93
237,Cuamba,-14.8,57.0,0,2.73,84
238,Evensk,61.92,51.42,100,5.75,100
239,Sharan,33.15,54.12,20,2.73,91
240,Arsk,56.09,64.4,0,4.47,72
241,Ulladulla,-35.36,51.8,20,21.92,50
242,Ribeira Grande,38.52,71.67,0,10.22,100
243,Torbay,47.66,57.2,90,12.75,87
244,Boundiali,9.53,72.93,56,2.95,89
245,Galich,58.38,60.6,48,8.1,77
246,Salym,60.06,56.46,92,10.45,98
247,Yaounde,3.87,69.8,75,3.18,94
248,Wladyslawowo,54.79,60.8,0,6.93,82
249,Antalaha,-14.9,66.27,32,4.41,89
250,Bonavista,48.65,59.34,92,15.03,93
251,La Ronge,55.1,82.4,75,12.75,42
252,Semey,50.41,59.97,76,5.97,58
253,Jinzhou,41.11,73.02,92,5.64,100
254,Ambon,47.55,73.4,0,3.36,69
255,Kupang,-10.16,75.2,20,9.17,88
256,Kakhi,41.42,77.0,75,6.93,69
257,Zdvinsk,54.7,50.79,0,6.98,93
258,Kaliganj,22.46,80.6,75,8.05,88
259,Kleinblittersdorf,49.16,70.83,0,3.36,49
260,Ponferrada,42.55,60.6,0,2.17,66
261,Narasaraopet,16.24,82.02,92,14.47,60
262,Nirasaki,35.72,67.8,92,2.17,99
263,Kamakhyanagar,20.93,73.92,100,6.53,97
264,Deseronto,44.2,77.79,90,13.87,54
265,Tanabe,33.73,84.63,8,4.63,77
266,Bulgan,48.81,58.17,64,3.96,88
267,Maun,-19.99,60.42,0,3.4,55
268,Leningradskiy,69.38,35.04,64,9.78,100
269,Hit,33.64,84.45,0,12.24,23
270,Livingston,32.58,93.2,75,3.36,52
271,Shelburne,44.08,79.36,20,2.24,61
272,Kirovskiy,45.09,71.04,0,3.18,80
273,Arraial do Cabo,-22.97,66.2,75,12.75,88
274,Maceio,-9.67,75.2,20,4.7,78
275,Sao Gabriel da Cachoeira,-0.13,75.45,80,3.51,90
276,Ust-Kuyga,70.0,50.43,0,4.41,70
277,Sungairaya,0.7,78.42,48,4.74,89
278,Feltre,46.02,78.91,64,1.12,73
279,Puerto del Rosario,28.5,75.2,20,10.29,88
280,Sangar,63.92,63.75,0,2.62,70
281,Namatanai,-3.66,78.24,76,9.66,100
282,Souillac,45.6,78.84,0,1.12,50
283,Mackenzie,55.34,75.2,1,9.17,31
284,Biltine,14.53,72.12,56,5.19,88
285,Erzin,36.95,79.68,0,16.11,65
286,Borogontsy,62.67,64.2,0,3.74,82
287,Sao Joao da Barra,-21.64,71.6,75,11.41,83
288,Praia da Vitoria,38.73,71.6,75,7.65,73
289,Narsaq,60.91,59.0,0,4.7,51
290,Meadow Lake,54.13,82.4,40,13.87,45
291,Namibe,-15.19,64.2,8,11.68,100
292,Saldanha,41.42,67.71,24,5.75,43
293,Ketchikan,55.34,69.76,1,9.17,50
294,Poum,41.28,55.65,0,1.5,89
295,Auki,12.18,69.33,76,4.29,98
296,Vila Velha,-3.71,78.8,0,5.82,78
297,Batticaloa,7.71,80.85,20,18.5,95
298,Kalispell,48.2,84.2,20,13.87,26
299,Turukhansk,65.8,49.26,100,5.08,92
300,Shingu,33.72,82.11,88,12.24,96
301,Banjar,-7.37,63.48,44,2.28,87
302,Rock Sound,24.9,84.72,20,12.35,97
303,Chara,39.42,69.8,0,6.93,64
304,Tura,25.52,76.35,24,3.74,98
305,Goderich,43.74,75.72,24,15.03,83
306,Veruela,8.07,82.74,88,6.53,63
307,Road Town,18.42,85.19,40,9.17,79
308,Quelimane,-17.88,75.2,0,9.17,88
309,Paoua,7.24,68.79,56,4.41,93
310,Kloulklubed,7.04,84.54,44,15.7,95
311,Mandera,3.94,77.16,8,13.02,61
312,Sisimiut,66.94,48.63,68,2.17,75
313,Ciumeghiu,46.73,70.75,0,5.82,94
314,Yafran,32.06,70.05,0,4.97,66
315,Coihaique,-45.58,42.4,40,4.7,81
316,Marrakesh,31.63,93.2,40,3.36,21
317,Milas,37.31,75.2,0,4.7,73
318,Elizabeth City,36.3,80.91,1,6.42,88
319,Linhares,-19.38,71.49,92,3.74,94
320,Tugulym,57.06,64.4,20,6.71,88
321,Amuntai,-2.42,75.0,0,2.39,90
322,Timbuktu,16.77,72.66,36,7.76,94
323,Kodiak,39.95,93.2,1,7.65,41
324,Sadri,25.19,77.79,56,10.56,69
325,Mackay,53.65,78.8,90,5.82,36
326,Rognan,67.1,55.4,75,8.05,76
327,Port-Gentil,-0.72,75.2,75,8.05,88
328,Tefe,-3.35,78.8,75,2.73,88
329,Kyabe,9.45,72.84,36,4.41,91
330,Pechora,65.12,54.39,100,2.84,99
331,Gornji Milanovac,44.02,63.23,0,1.12,100
332,Huarmey,-10.07,61.32,0,3.74,75
333,Varna,43.22,68.0,0,1.12,88
334,Parana,-7.52,73.4,90,4.7,83
335,Ixtapa,20.71,87.8,90,2.24,62
336,Brigantine,39.41,86.74,1,11.41,62
337,Peniche,39.36,66.2,20,10.29,88
338,Severodvinsk,64.56,51.8,40,11.18,100
339,Srandakan,-7.94,66.0,0,2.39,91
340,Husavik,50.56,67.44,0,4.29,85
341,Kavieng,-2.57,79.14,80,2.51,100
342,Berlevag,70.86,46.29,92,17.49,100
343,Yerbogachen,61.28,53.4,44,6.76,92
344,Nacala,-14.56,73.29,0,6.87,99
345,San Carlos de Bariloche,-41.13,42.8,75,6.93,93
346,Srednekolymsk,67.46,51.69,0,3.96,62
347,Raudeberg,61.99,57.2,75,6.93,93
348,Hamada,34.9,84.0,12,8.1,70
349,Manpur,24.8,78.8,75,5.82,100
350,Panshi,42.94,67.35,92,3.96,100
351,Guerande,48.47,60.84,0,3.36,100
352,Karaton,-6.34,78.8,20,3.36,69
353,Karasjok,69.47,48.2,48,17.22,70
354,Coihueco,-36.63,51.8,90,13.87,87
355,Nanortalik,60.14,42.24,0,8.88,91
356,Atar,20.52,86.52,0,6.76,42
357,Oytal,42.91,73.74,32,8.21,49
358,Vrangel,42.73,67.8,64,16.04,100
359,Yar-Sale,66.83,53.94,92,13.91,87
360,Yumen,40.29,65.91,0,10.33,48
361,San Jose de Sisa,-6.62,85.68,20,3.36,55
362,Sechura,-5.56,70.05,0,13.91,80
363,Puquio,-14.69,34.59,0,0.94,85
364,Belomorsk,64.52,54.84,92,11.45,100
365,Ngunguru,-35.62,58.8,36,3.85,100
366,Sri Aman,1.24,73.4,12,2.95,94
367,Santa Isabel,4.71,86.0,75,6.93,45
368,Bambous Virieux,-20.34,68.0,40,10.29,64
369,Kuytun,54.34,51.42,92,3.4,94
370,Matelica,43.26,77.0,0,2.24,69
371,Marsabit,2.34,69.24,0,10.78,63
372,Dubno,50.42,58.89,0,2.84,87
373,Clinton,41.84,80.91,40,6.93,74
374,Barra Patuca,15.8,79.14,64,7.76,100
375,Dhamtari,20.71,73.2,88,10.45,97
376,Miyako,33.63,82.98,75,6.93,74
377,Ginda,30.69,57.63,56,1.72,100
378,Werneck,49.98,72.43,20,4.7,43
379,Tilichiki,60.47,61.32,0,6.76,73
380,Laredo,27.51,98.02,1,9.17,30
381,Plouzane,48.38,61.29,90,6.93,100
382,Ayorou,14.73,72.75,56,6.98,97
383,Katangli,51.71,59.07,64,1.72,85
384,Dong Hoi,17.48,81.12,80,5.3,100
385,Wuwei,37.93,59.34,76,2.17,98
386,Nabire,-3.36,74.46,32,1.39,87
387,Muisne,0.61,78.15,68,4.97,77
388,Salamiyah,35.01,65.19,0,8.66,96
389,Ranghulu,46.63,71.49,32,5.3,89
390,Zhezkazgan,47.8,62.85,64,4.52,96
391,Tazmalt,36.39,77.0,40,5.82,83
392,Villarrica,-39.28,43.77,92,4.18,100
393,Waitati,-45.75,42.06,36,4.18,86
394,Werda,50.44,66.2,0,8.21,55
395,Kazanskaya,45.41,70.86,0,3.74,62
396,Feliceni,46.27,66.2,12,2.73,93
397,Osypenko,48.04,73.4,0,4.41,69
398,Port Hawkesbury,45.62,75.2,40,8.05,73
399,Roebourne,-20.77,54.75,0,13.69,26
400,Terrace,54.52,84.2,75,13.87,37
401,Myanaung,18.28,75.72,92,8.66,100
402,Anloga,5.79,75.2,20,11.41,88
403,Bom Despacho,-19.74,62.85,44,4.18,96
404,Kununurra,-15.77,64.4,0,5.82,14
405,Maumere,-8.63,80.22,0,7.99,100
406,Gojra,31.15,80.4,8,3.06,87
407,Coronado,8.53,82.4,40,5.82,83
408,Sakaraha,-22.91,46.92,0,1.72,76
409,Kirakira,-10.46,80.49,0,11.56,100
410,Bilibino,68.06,58.53,12,3.18,52
411,Esmeraldas,-19.76,71.6,0,9.17,68
412,Grindavik,63.84,49.15,20,21.92,76
413,Makarska,43.3,78.55,0,2.24,69
414,Maniitsoq,65.42,47.91,20,7.65,78
415,Palmer,-34.85,51.8,40,13.87,71
416,Wewak,-3.55,78.06,12,2.84,92
417,Tapiramuta,-11.85,71.22,0,9.1,65
418,Emerald,-23.53,62.94,56,11.45,27
419,Roald,62.58,58.28,56,8.05,82
420,Hare Bay,48.86,68.0,75,8.05,77
421,Kargasok,59.06,47.55,12,4.74,86
422,Kidal,18.44,77.79,32,2.84,73
423,Port Hardy,50.7,68.0,20,10.29,64
424,Aranos,-24.14,59.7,0,9.78,33
425,Naliya,23.26,79.77,100,17.05,77
426,North Bend,43.41,64.26,1,14.99,72
427,Sorong,-0.86,78.69,88,13.47,100
428,Svetlogorsk,53.14,62.6,40,11.18,72
429,Brae,60.4,55.4,76,11.41,87
430,Avera,33.19,82.42,1,4.7,78
431,Kayerkan,69.35,47.82,48,8.32,94
432,Nyuksenitsa,60.41,57.36,8,12.46,96
433,Prince Rupert,54.32,69.8,1,4.7,68
434,Presidente Epitacio,-21.76,63.03,80,6.87,98
435,Rafai,4.95,67.26,64,5.08,99
436,Awjilah,29.14,84.54,0,10.0,35
437,Ravar,31.27,66.54,0,3.29,44
438,Salinas,36.67,75.76,1,16.11,56
439,Half Moon Bay,37.46,82.18,1,13.87,87
440,Portland,45.52,85.55,75,10.29,42
441,Koch Bihar,26.32,77.79,92,3.85,100
442,Salalah,17.01,77.0,75,4.7,94
443,Arona,45.76,72.12,75,10.29,69
444,Laguna,27.52,91.4,75,8.05,52
445,Ilulissat,69.22,46.4,75,2.24,65
446,Dalbandin,28.9,68.97,0,2.51,27
447,Tsiroanomandidy,-18.77,50.61,0,4.74,82
448,Charlestown,41.38,86.02,1,8.05,58
449,Ihtiman,42.44,64.4,0,2.24,82
450,Pamanukan,-6.28,77.79,8,10.33,100
451,Arlit,18.74,83.28,8,6.76,55
452,Esperance,10.24,84.2,20,11.41,74
453,Umm Lajj,25.02,78.24,0,4.52,100
454,Okha,53.59,61.95,24,4.41,100
455,Doha,25.29,100.4,0,6.93,31
456,Kilembe,0.2,66.72,92,5.19,92
457,Yenagoa,4.92,72.12,48,6.08,86
458,Tucurui,-3.77,82.74,24,2.28,62
459,Klaksvik,62.23,51.8,48,12.75,93
460,Poya,-21.35,70.77,0,2.28,99
461,Estelle,32.87,97.52,75,10.29,34
462,Montrose,-37.81,44.6,40,9.17,75
463,Lincoln,53.23,67.78,44,3.36,72
464,Anchorage,61.22,65.64,90,19.46,56
465,Skibbereen,51.55,59.0,75,8.05,87
466,Sinnamary,5.38,81.57,36,10.22,96
467,Immokalee,26.42,90.19,20,17.22,49
468,Lerwick,60.15,55.4,48,11.41,87
469,Abha,18.22,68.86,20,5.82,83
470,Hami,42.84,72.48,0,9.55,44
471,Najran,17.54,87.8,40,4.41,23
472,Kahului,20.89,83.52,40,21.92,52
473,Bilma,18.69,87.24,64,5.19,39
474,Nyurba,63.29,62.04,0,3.74,73
475,Ambositra,-20.53,44.67,0,2.62,100
476,Vertou,47.17,72.21,0,1.12,68
477,Sao Filipe,14.9,76.8,12,10.22,100
478,Hillsborough,37.57,85.75,20,21.92,46
479,Sterling,39.0,86.74,40,4.7,70
480,Awbari,26.59,88.95,36,7.65,14
481,Saint-Joseph,43.56,77.61,0,3.36,73
482,Sirari,-1.25,64.38,88,5.64,99
483,Djibo,14.1,72.12,44,7.43,96
484,Daru,7.99,71.67,92,6.2,99
485,Sorland,67.67,54.03,48,7.31,100
486,Muli,22.62,78.33,92,11.23,81
487,Sampang,-7.54,74.55,56,8.77,94
488,Tarko-Sale,64.92,51.24,76,11.79,88
489,Mount Isa,-20.73,50.0,0,9.17,34
490,Anori,-3.74,77.25,32,3.29,91
491,Temerloh,3.45,73.29,8,2.62,96
492,Sola,62.78,55.4,75,10.29,87
493,Gallup,35.53,94.05,1,9.17,9
494,Banos,43.74,76.98,32,1.12,88
495,Yulara,-25.24,30.2,0,3.36,74
496,Agboville,5.93,73.92,24,9.66,78
497,Nantucket,41.28,81.0,40,9.17,94
498,Flinders,-34.58,51.8,20,21.92,50
499,Mount Gambier,-37.83,49.35,88,7.2,87
500,Amarante do Maranhao,-5.57,75.36,0,4.63,79
501,Puerto Escondido,15.86,84.2,90,2.06,70
502,Aloja,57.77,62.85,12,9.66,61
503,Zeya,53.74,59.61,92,2.73,68
504,Tripoli,37.51,69.8,0,1.61,73
505,Breytovo,58.3,58.62,64,9.78,79
506,Gisborne,-38.66,55.74,80,14.14,98
507,Gondanglegi,-7.75,65.37,0,6.2,85
508,Cururupu,-1.82,78.06,0,7.87,86
509,Saint-Georges,46.12,77.25,8,4.18,70
510,Gizo,31.8,80.6,40,2.24,69
511,Leskovik,40.15,69.8,20,1.95,83
512,Vyshkov,52.48,62.6,36,8.95,82
513,Mineros,-17.12,66.2,75,4.7,82
514,Alexandroupoli,40.85,74.28,0,6.87,86
515,Houma,35.63,78.15,32,3.18,88
516,Ratnagiri,16.98,78.24,92,19.62,100
517,Dano,11.14,76.98,88,8.43,85
518,Lima,-12.06,59.88,12,1.95,77
519,Sur,22.57,88.05,32,9.33,76
520,High Level,58.52,71.6,40,3.36,73
521,Anadyr,64.73,57.2,75,4.47,76
522,Quechultenango,17.41,64.56,68,1.95,98
523,Aksarka,66.56,51.24,92,10.45,89
524,Oranjemund,-28.55,56.01,100,2.95,100
525,Jiamusi,46.81,69.87,20,4.97,91
526,Padang,-0.92,75.72,32,5.64,100
527,Basco,40.33,87.08,1,6.93,62
528,Mendi,9.8,58.53,48,2.51,98
529,Socorro,13.06,73.47,88,3.4,100
530,Frankfort,38.2,89.17,20,5.82,55
531,Ewa Beach,21.32,85.53,40,11.41,43
